Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,"CATTLE, INCL CALVES - INVENTORY  -  <b>VALUE</b>","CATTLE, INCL CALVES - INVENTORY  -  <b>CV (%)</b>"
COUNTY,NEBRASKA,31,CENTRAL,50,BUFFALO,19,CATTLE,95000.00,
COUNTY,NEBRASKA,31,CENTRAL,50,CUSTER,41,CATTLE,330000.00,
COUNTY,NEBRASKA,31,CENTRAL,50,DAWSON,47,CATTLE,235000.00,
COUNTY,NEBRASKA,31,CENTRAL,50,GREELEY,77,CATTLE,70000.00,
COUNTY,NEBRASKA,31,CENTRAL,50,HALL,79,CATTLE,69000.00,
COUNTY,NEBRASKA,31,CENTRAL,50,HOWARD,93,CATTLE,81000.00,
COUNTY,NEBRASKA,31,CENTRAL,50,SHERMAN,163,CATTLE,66000.00,
COUNTY,NEBRASKA,31,CENTRAL,50,VALLEY,175,CATTLE,105000.00,
COUNTY,NEBRASKA,31,EAST,60,BUTLER,23,CATTLE,38500.00,
COUNTY,NEBRASKA,31,EAST,60,CASS,25,CATTLE,9300.00,
COUNTY,NEBRASKA,31,EAST,60,COLFAX,37,CATTLE,77000.00,
COUNTY,NEBRASKA,31,EAST,60,DODGE,53,CATTLE,41000.00,
COUNTY,NEBRASKA,31,EAST,60,DOUGLAS,55,CATTLE,2300.00,
COUNTY,NEBRASKA,31,EAST,60,HAMILTON,81,CATTLE,32500.00,
COUNTY,NEBRASKA,31,EAST,60,LANCASTER,109,CATTLE,22000.00,
COUNTY,NEBRASKA,31,EAST,60,MERRICK,121,CATTLE,52000.00,
COUNTY,NEBRASKA,31,EAST,60,NANCE,125,CATTLE,33500.00,
COUNTY,NEBRASKA,31,EAST,60,PLATTE,141,CATTLE,140000.00,
COUNTY,NEBRASKA,31,EAST,60,POLK,143,CATTLE,83000.00,
COUNTY,NEBRASKA,31,EAST,60,SARPY,153,CATTLE,4200.00,
COUNTY,NEBRASKA,31,EAST,60,SAUNDERS,155,CATTLE,53000.00,
COUNTY,NEBRASKA,31,EAST,60,SEWARD,159,CATTLE,43500.00,
COUNTY,NEBRASKA,31,EAST,60,WASHINGTON,177,CATTLE,21500.00,
COUNTY,NEBRASKA,31,EAST,60,YORK,185,CATTLE,45500.00,
COUNTY,NEBRASKA,31,NORTH,20,ARTHUR,5,CATTLE,36000.00,
COUNTY,NEBRASKA,31,NORTH,20,BLAINE,9,CATTLE,43500.00,
COUNTY,NEBRASKA,31,NORTH,20,BOYD,15,CATTLE,63000.00,
COUNTY,NEBRASKA,31,NORTH,20,BROWN,17,CATTLE,140000.00,
COUNTY,NEBRASKA,31,NORTH,20,CHERRY,31,CATTLE,285000.00,
COUNTY,NEBRASKA,31,NORTH,20,GARFIELD,71,CATTLE,52000.00,
COUNTY,NEBRASKA,31,NORTH,20,GRANT,75,CATTLE,36000.00,
COUNTY,NEBRASKA,31,NORTH,20,HOLT,89,CATTLE,220000.00,
COUNTY,NEBRASKA,31,NORTH,20,HOOKER,91,CATTLE,23500.00,
